,idx,idxmax,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,z_sim
250,10,5,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7560814639084821,"Multitasker, Collaborator, Risk Friendly, Reframer, Generalist",0.14393556632092014,0.47846037708987693,0.20679335348164468,1.0
2275,91,1,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7455358669334191,"Collaborator, Outwardly Inspired, Multitasker, Externally Motivated, Reframer",0.22028315946348734,0.45586930779885326,0.20188941829641827,1.0
925,37,0,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7349084571410195,"Collaborator, Multitasker, Risk Friendly, Novelty Seeker, Reframer",0.25247185657275595,0.3605753768958553,0.16904235373511356,0.9966666666666667
1275,51,0,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7311474192795965,"Collaborator, Reframer, Outwardly Inspired, Multitasker, Stimulated By Constraints",0.1835970024979184,0.460486290420708,0.18635911349177964,0.9966666666666667
425,17,0,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7308775605334324,"Collaborator, Multitasker, Outwardly Inspired, Novelty Seeker, Risk Friendly",0.2244631047038716,0.4998263893928298,0.17201501184486062,0.9966666666666667
1975,79,0,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7294929308654775,"Collaborator, Outwardly Inspired, Reframer, Multitasker, Risk Friendly",0.22570318200092318,0.43460861774934306,0.21810425173296516,0.9966666666666667
725,29,0,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.72808148702842,"Collaborator, Outwardly Inspired, Externally Motivated, Novelty Seeker, Risk Friendly",0.22197958910824903,0.4539144626482994,0.18306913594332638,0.9966666666666667
1800,72,0,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7275039932618675,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Reframer",0.1856644503413936,0.41761898977380435,0.1931599623638818,0.9966666666666667
1025,41,1,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7267244267280303,"Collaborator, Multitasker, Risk Friendly, Novelty Seeker, Reframer",0.23399201270840447,0.40939380471808917,0.20426281731117008,0.9966666666666667
1300,52,0,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7262612823922906,"Collaborator, Externally Motivated, Reframer, Outwardly Inspired, Multitasker",0.23279888151827943,0.4771303793833137,0.15067850908009134,0.9966666666666667
2225,89,9,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7254026251733312,"Outwardly Inspired, Collaborator, Externally Motivated, Reframer, Multitasker",0.19167964404894328,0.4186644688360287,0.20724402939462008,0.9966666666666667
2475,99,0,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7232358472713822,"Collaborator, Outwardly Inspired, Multitasker, Reframer, Risk Friendly",0.21459284938477333,0.5324655903380908,0.10943686602294467,0.9966666666666667
1200,48,0,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7230053345409534,"Collaborator, Multitasker, Outwardly Inspired, Reframer, Novelty Seeker",0.2282878043713739,0.40155607994006853,0.18549137684691144,0.9966666666666667
1000,40,3,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7228762035558862,"Multitasker, Novelty Seeker, Risk Friendly, Collaborator, Reframer",0.2476552032157213,0.40360377748008186,0.20503134942657716,0.9966666666666667
300,12,6,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7225837765284404,"Multitasker, Silence, Reframer, Collaborator, Generalist",0.14739262887521654,0.4186401129204992,0.17089608619151303,0.9966666666666667
2250,90,5,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.7220700917221596,"Multitasker, Collaborator, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.20710656882260317,0.42688902459051986,0.18191460520608338,0.9966666666666667
