,idx,idxmax,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,z_sim
352,10,11,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7234634382839529,"Routine Seeker, Risk Averse, Hate Distractions, Solo Creator, Monotasker",0.20104307113330272,0.4340115753375983,0.13202980439037726,1.0
2629,79,8,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7228930220643919,"Routine Seeker, Risk Averse, Solo Creator, Hate Distractions, Monotasker",0.21318383513505465,0.4584792895919012,0.13026210985173278,1.0
2398,72,8,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.720535183317031,"Routine Seeker, Hate Distractions, Risk Averse, Monotasker, Solo Creator",0.22680197916821443,0.44473598948091475,0.14024091863871224,1.0
2299,69,12,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7187229621833506,"Solo Creator, Risk Averse, Hate Distractions, Routine Seeker, Monotasker",0.18467437505573225,0.40247437255883617,0.14760669996847625,1.0
2860,86,3,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7180416076536726,"Hate Distractions, Risk Averse, Routine Seeker, Monotasker, Solo Creator",0.23100913343729115,0.37983398568753884,0.15453997186311244,1.0
2761,83,8,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.717092564072244,"Risk Averse, Solo Creator, Routine Seeker, Hate Distractions, Externally Motivated",0.16442200608805405,0.4311684299643633,0.14819928223199852,1.0
3190,96,11,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7161143143909844,"Risk Averse, Routine Seeker, Monotasker, Solo Creator, Private",0.1849413578874012,0.4091594234694476,0.15098693453199963,1.0
3256,98,10,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7157385114136591,"Risk Averse, Routine Seeker, Monotasker, Hate Distractions, Solo Creator",0.21929889792822405,0.3990917168362978,0.15234758330183984,1.0
2893,87,9,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7155514066035554,"Risk Averse, Routine Seeker, Make It Happen, Hate Distractions, Rational",0.19941405669075876,0.4121348903153563,0.13705733670334935,1.0
253,7,6,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7154776379975443,"Risk Averse, Routine Seeker, Monotasker, Hate Distractions, Make It Happen",0.2079487103380725,0.40103677994506853,0.18326882967105473,1.0
2464,74,11,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7154349993140611,"Routine Seeker, Hate Distractions, Risk Averse, Monotasker, Make It Happen",0.20211152416356878,0.45921399052464773,0.10689617536127337,1.0
2002,60,9,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7149376411792958,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Solo Creator",0.21117081280056996,0.463254434575051,0.1153640135006515,1.0
3124,94,9,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7146670907263535,"Risk Averse, Hate Distractions, Routine Seeker, Externally Motivated, Monotasker",0.20497487212371565,0.4394041889563289,0.1540606982628769,1.0
187,5,7,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.19938634354360601,0.7144260240285412,"Risk Averse, Monotasker, Routine Seeker, Hate Distractions, Solo Creator",0.21242654478542175,0.4395768487330172,0.13121347287463775,1.0
