,idx,idxmax,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,z_sim
2050,70,5,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.19449046455131014,0.7242710683363084,"Risk Averse, Routine Seeker, Solo Creator, Hate Distractions, Externally Motivated",0.17555063789339234,0.462655181194604,0.12035895930213734,1.0
1731,59,5,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.19449046455131014,0.7195562418555868,"Risk Averse, Hate Distractions, Routine Seeker, Make It Happen, Solo Creator",0.1871679971510817,0.46012073389819225,0.12543509746755746,1.0
2427,83,9,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.19449046455131014,0.7169743588610993,"Risk Averse, Routine Seeker, Hate Distractions, Externally Motivated, Outwardly Inspired",0.195511963144598,0.39271928342103984,0.16429218519789532,1.0
368,12,14,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.19449046455131014,0.7145988789529528,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Solo Creator",0.2052654268682454,0.3852156920256383,0.1533300257143245,1.0
2630,90,2,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.19449046455131014,0.7136588913129049,"Monotasker, Solo Creator, Risk Averse, Hate Distractions, Routine Seeker",0.1578074074074074,0.4635939625705125,0.13254381151360148,1.0
2282,78,16,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.19449046455131014,0.7125304645011672,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.19428579905356694,0.3567632195274006,0.16083225107930146,1.0
1006,34,8,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.19449046455131014,0.7123842874790522,"Solo Creator, Hate Distractions, Risk Averse, Monotasker, Private",0.17437262131303521,0.4749372331148818,0.12762098759206505,1.0
1818,62,9,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.19449046455131014,0.7121713163894712,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Solo Creator",0.222395000296191,0.3746814162067724,0.1585717215519719,1.0
2166,74,10,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.19449046455131014,0.7119415817934833,"Risk Averse, Hate Distractions, Routine Seeker, Monotasker, Make It Happen",0.23445025866682523,0.39965053331577194,0.15100689585930724,1.0
832,28,10,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.19449046455131014,0.7114631456959346,"Routine Seeker, Risk Averse, Make It Happen, Hate Distractions, Rational",0.16884585062549273,0.43598584367429954,0.16207211291497428,1.0
310,10,7,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.19449046455131014,0.7095986795197102,"Routine Seeker, Solo Creator, Hate Distractions, Risk Averse, Monotasker",0.21302934497038786,0.4279121704505495,0.14216532817843963,1.0
