Cluster,Avg_Similarity,Std_Similarity,Avg_Sim_Z,Std_Sim_Z,Cluster_frac,Avg_SimCluster_Frac,Avg_Frac_Overlap
"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.6985536459474408,0.011846147494709455,0.999650793650793,0.0009186479583754096,0.23590856073044433,0.21387806381706476,0.822527622385212
"Collaborator, Multitasker, Risk Friendly, Reframer, Outwardly Inspired",0.7013771377728915,0.017978535790047073,0.9995396825396816,0.0009107182372801487,0.21310817738089047,0.15262993735994512,0.8244816768738253
"Risk Friendly, Stifled By Constraints, Multitasker, Novelty Seeker, Internally Motivated",0.70792270722021,0.026005110549056316,0.9994444444444437,0.001263713771565128,0.20804142552543406,0.16364395930656722,0.828986820337338
"Solo Creator, Internally Motivated, Monotasker, Private, Hate Distractions",0.6710205091281719,0.03342860107010204,0.9964444444444457,0.004299143444414139,0.18465413103719827,0.1418780006322614,0.8031265989407467
"Risk Friendly, Monotasker, Novelty Seeker, Let It Happen, Internally Motivated",0.6623752619886706,0.02245947818770634,0.9961428571428589,0.002400963419410045,0.07458971939704168,0.1389617646885914,0.7969022123155064
"Novelty Seeker, Noise/Music, Risk Averse, Stifled By Constraints, Night Owl",0.6591495003695441,0.023436849032750274,0.9956190476190495,0.002977016079170616,0.044196637519223196,0.08464411156290169,0.7945631182997446
"Multitasker, Make It Happen, Risk Averse, NonKinetic, Routine Seeker",0.6074434824874944,0.01940179683788982,0.9851587301587287,0.004451853692618796,0.02611383104388461,0.18957051714902654,0.7557882925345342
"Pragmastist, Night Owl, Inwardly Inspired, Tenacious, Collaborator",0.46995510658415607,0.014644808665383625,0.9651587301587309,0.002634657906700214,0.002711678045808786,0.14002843661728062,0.6394142303790837
"Routine Seeker, Outwardly Inspired, Hate Distractions, Risk Friendly, Pragmastist",0.3806411088199364,0.02691710464092222,0.9288730158730161,0.012030906684127513,0.001270402591324116,0.09800710376546519,0.5513976172204209
"Let It Happen, Generalist, Routine Seeker, Reframer, Pragmastist",0.3565418513790864,0.028557741628369777,0.9007619047619043,0.026803363267348335,0.0009063691002429366,0.07090236039117097,0.5256628846601661
"Multitasker, Generalist, Pragmastist, Early Bird, Slow Paced",0.3819477496322541,0.03352127159005578,0.9276825396825393,0.015016696354941399,0.0007206377272423348,0.06778323941722358,0.5527672804328427
"Monotasker, Rational, Noise/Music, Kinetic, Reframer",0.4130504586349227,0.03152856185292084,0.9430158730158713,0.011358029670658097,0.0006166281583619979,0.06035221479797629,0.5846223765200148
"Monotasker, Outwardly Inspired, Kinetic, Night Owl, Reframer",0.31982718127182036,0.034873234456531364,0.8354444444444451,0.043880300928865384,0.0005943403936019256,0.05215709633863516,0.48465009026958583
"Organized, Risk Averse, Generalist, Love Distractions, Pragmastist",0.39924223215238264,0.021717728448945796,0.9375396825396823,0.008085423508424354,0.0005051893345616368,0.10188316844402685,0.5706549201824029
"Monotasker, Perfectionist, Internally Motivated, Risk Friendly, Stifled By Constraints",0.2918367470508952,0.03635024964931447,0.7720952380952375,0.041779258765167054,0.0004606138050414924,0.09610016606295306,0.4518167604646991
