idx,idxmax,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,z_sim
0,31,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.6884238592935218,"Solo Creator, Internally Motivated, Monotasker, Private, Hate Distractions",0.18465413103719827,0.31683693381939093,0.15713136921127066,0.9984126984126984
0,28,"Collaborator, Multitasker, Risk Friendly, Reframer, Outwardly Inspired",0.21310817738089047,0.6274537225340799,"Risk Friendly, Stifled By Constraints, Multitasker, Novelty Seeker, Internally Motivated",0.20804142552543406,0.3016504826004954,0.1529867824242819,0.9920634920634921
0,28,"Risk Friendly, Stifled By Constraints, Multitasker, Novelty Seeker, Internally Motivated",0.20804142552543406,0.6704900180261816,"Risk Friendly, Monotasker, Novelty Seeker, Let It Happen, Internally Motivated",0.07458971939704168,0.3049331187475355,0.15297112036419977,0.9968253968253968
0,4,"Solo Creator, Internally Motivated, Monotasker, Private, Hate Distractions",0.18465413103719827,0.6884238592935218,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.32273798279434746,0.15591385464641191,0.9984126984126984
0,28,"Risk Friendly, Monotasker, Novelty Seeker, Let It Happen, Internally Motivated",0.07458971939704168,0.6704900180261816,"Risk Friendly, Stifled By Constraints, Multitasker, Novelty Seeker, Internally Motivated",0.20804142552543406,0.31165782615119075,0.1613237503042989,0.9968253968253968
0,1,"Novelty Seeker, Noise/Music, Risk Averse, Stifled By Constraints, Night Owl",0.044196637519223196,0.6272338942396128,"Collaborator, Multitasker, Risk Friendly, Reframer, Outwardly Inspired",0.21310817738089047,0.3178619277847267,0.16088642008523502,0.9904761904761905
0,4,"Multitasker, Make It Happen, Risk Averse, NonKinetic, Routine Seeker",0.02611383104388461,0.6632191643142876,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.3141347890347654,0.1471472164571438,0.9952380952380953
0,27,"Pragmastist, Night Owl, Inwardly Inspired, Tenacious, Collaborator",0.002711678045808786,0.5777641406509841,"Risk Friendly, Monotasker, Novelty Seeker, Let It Happen, Internally Motivated",0.07458971939704168,0.29308331405266735,0.1250361705474616,0.9777777777777777
0,31,"Routine Seeker, Outwardly Inspired, Hate Distractions, Risk Friendly, Pragmastist",0.001270402591324116,0.44842544636303716,"Solo Creator, Internally Motivated, Monotasker, Private, Hate Distractions",0.18465413103719827,0.2524949046595622,0.10740687444456459,0.9571428571428572
0,29,"Let It Happen, Generalist, Routine Seeker, Reframer, Pragmastist",0.0009063691002429366,0.42870924467311533,"Routine Seeker, Outwardly Inspired, Hate Distractions, Risk Friendly, Pragmastist",0.001270402591324116,0.25886487796713464,0.10269333927105682,0.9523809523809523
0,26,"Multitasker, Generalist, Pragmastist, Early Bird, Slow Paced",0.0007206377272423348,0.4198900810265684,"Pragmastist, Night Owl, Inwardly Inspired, Tenacious, Collaborator",0.002711678045808786,0.25762931235918646,0.10673689313915156,0.9476190476190476
0,24,"Monotasker, Rational, Noise/Music, Kinetic, Reframer",0.0006166281583619979,0.36773116685809776,"Novelty Seeker, Noise/Music, Risk Averse, Stifled By Constraints, Night Owl",0.044196637519223196,0.24196034006923395,0.07951245623945885,0.9222222222222223
0,2,"Monotasker, Outwardly Inspired, Kinetic, Night Owl, Reframer",0.0005943403936019256,0.427599627172441,"Collaborator, Night Owl, Novelty Seeker, Rational, Reframer",0.0003863212558412517,0.24571692774333062,0.08914276909241622,0.9507936507936507
0,18,"Organized, Risk Averse, Generalist, Love Distractions, Pragmastist",0.0005051893345616368,0.3873828307018523,"Multitasker, Generalist, Pragmastist, Early Bird, Slow Paced",0.0007206377272423348,0.23848261140446553,0.08758903391334229,0.9333333333333333
