,idx,idxmax,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,z_sim
1850,61,7,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7249762139528808,"Risk Averse, Routine Seeker, Solo Creator, Hate Distractions, Monotasker",0.23686755232895462,0.4329929578818125,0.136255430207186,1.0
260,8,10,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7187045414320599,"Risk Averse, Routine Seeker, Monotasker, Hate Distractions, Make It Happen",0.2201028782112274,0.3807363168060176,0.16563104558487354,1.0
2330,77,11,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7177144147622128,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Solo Creator",0.2440327380952381,0.3788844230761799,0.1528726311690862,1.0
1640,54,7,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7159960951492792,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Solo Creator",0.23460532572515455,0.437053511051985,0.15950887134261782,1.0
2870,95,10,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7158745342587168,"Solo Creator, Routine Seeker, Risk Averse, Externally Motivated, Hate Distractions",0.16978611609992134,0.443162443387054,0.15703216386483773,1.0
1100,36,9,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7156847179745286,"Routine Seeker, Risk Averse, Solo Creator, Hate Distractions, Monotasker",0.21893860561914671,0.423533997976751,0.1534896434936938,1.0
950,31,9,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7132917443695732,"Risk Averse, Monotasker, Hate Distractions, Solo Creator, Make It Happen",0.2341215062860875,0.4087580758868714,0.16602952726140005,1.0
1460,48,10,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7127541448908444,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Solo Creator",0.22507775413324604,0.3972845612861271,0.13644765897513203,1.0
2420,80,8,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7115019393779859,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.23506872013374167,0.40271791081748215,0.1754531106049594,1.0
1700,56,7,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.711473931843324,"Risk Averse, Solo Creator, Hate Distractions, Monotasker, Routine Seeker",0.23938702120357522,0.4014707234167183,0.1547003762436095,1.0
2900,96,8,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7114620902857449,"Risk Averse, Routine Seeker, Solo Creator, Make It Happen, Hate Distractions",0.18506241414322402,0.4288817717920052,0.17386549464338402,1.0
2750,91,8,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7113022450267852,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Solo Creator",0.23023721319311663,0.36367743790511015,0.1672736897960474,1.0
1670,55,12,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7111361635787637,"Routine Seeker, Risk Averse, Hate Distractions, Make It Happen, Monotasker",0.2180919382299352,0.38460205020094584,0.15124739562132672,1.0
2060,68,11,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7110386948191889,"Risk Averse, Routine Seeker, Monotasker, Hate Distractions, Solo Creator",0.23224202361278604,0.4281862408138355,0.12767737786376313,1.0
1730,57,10,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7105840767238382,"Routine Seeker, Risk Averse, Hate Distractions, Monotasker, Private",0.22353255306839928,0.4186708967912682,0.14671051770613658,1.0
680,22,15,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7104295884463055,"Solo Creator, Routine Seeker, Monotasker, Risk Averse, Hate Distractions",0.17996963291553783,0.38731805112640155,0.15741824057646323,1.0
2990,99,8,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7102133040711666,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.2246796872677547,0.36334962935380616,0.18950490257354535,1.0
740,24,11,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7101628206729528,"Routine Seeker, Risk Averse, Hate Distractions, Monotasker, Solo Creator",0.25062537224538417,0.39243096482952977,0.15987493253201984,1.0
2690,89,11,"Risk Averse, Routine Seeker, Hate Distractions, Monotasker, Make It Happen",0.22116148971419655,0.7095842443395435,"Routine Seeker, Risk Averse, Solo Creator, Monotasker, Hate Distractions",0.20122250479632356,0.3881963951397878,0.16532801001307187,1.0
