idx,idxmax,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,z_sim
0,5,"Collaborator, Multitasker, Risk Friendly, Outwardly Inspired, Novelty Seeker",0.1997503770346872,0.6334213590330239,"Make It Happen, Reframer, Stimulated By Constraints, Rational, Externally Motivated",0.09721180062851496,0.3281119190805528,0.17064350227880848,0.9833333333333333
0,6,"Risk Averse, Routine Seeker, Solo Creator, Externally Motivated, Hate Distractions",0.19185307905470161,0.6934402104260121,"Make It Happen, Reframer, Stimulated By Constraints, Rational, Externally Motivated",0.09721180062851496,0.3474095070817018,0.1687881288231748,0.9933333333333333
0,15,"Solo Creator, Internally Motivated, Monotasker, Hate Distractions, Stifled By Constraints",0.1609250908226414,0.6766475310583716,"Risk Averse, Routine Seeker, Solo Creator, Externally Motivated, Hate Distractions",0.19185307905470161,0.3617107995547628,0.16902670991810934,0.99
0,18,"Noise/Music, Stifled By Constraints, Novelty Seeker, Risk Friendly, Internally Motivated",0.13575477515359985,0.7448496712908239,"Silence, Multitasker, Risk Friendly, Let It Happen, Generalist",0.11368988804112835,0.34993764825921514,0.17505474501634258,0.9966666666666667
0,12,"Silence, Multitasker, Risk Friendly, Let It Happen, Generalist",0.11368988804112835,0.7448496712908239,"Noise/Music, Stifled By Constraints, Novelty Seeker, Risk Friendly, Internally Motivated",0.13575477515359985,0.3419996609751781,0.1771794179383435,0.9966666666666667
0,14,"Make It Happen, Reframer, Stimulated By Constraints, Rational, Externally Motivated",0.09721180062851496,0.6934402104260121,"Risk Averse, Routine Seeker, Solo Creator, Externally Motivated, Hate Distractions",0.19185307905470161,0.34502207064369217,0.17751862694641057,0.9933333333333333
0,19,"Novelty Seeker, Risk Friendly, Tenacious, Kinetic, Nature",0.08764292029152396,0.6512000947199749,"Solo Creator, Internally Motivated, Monotasker, Hate Distractions, Stifled By Constraints",0.1609250908226414,0.3513472510429156,0.179309621716583,0.9866666666666667
0,15,"Routine Seeker, Risk Friendly, Internally Motivated, Monotasker, Noise/Music",0.00423467530441372,0.558177494107932,"Risk Averse, Routine Seeker, Solo Creator, Externally Motivated, Hate Distractions",0.19185307905470161,0.3407711670188516,0.14361113378469154,0.95
0,13,"Tenacious, Novelty Seeker, Make It Happen, Outwardly Inspired, Public",0.0026819610261286896,0.46340933208330065,"Novelty Seeker, Risk Friendly, Tenacious, Kinetic, Nature",0.08764292029152396,0.2918096783508423,0.10988263073893748,0.9166666666666666
0,15,"Monotasker, Urban, Routine Seeker, Risk Friendly, Night Owl",0.0011069589830835864,0.4552822967840124,"Risk Friendly, Silence, Routine Seeker, Hate Distractions, Monotasker",0.0008320765510426959,0.280015505271294,0.12110567301715681,0.91
0,16,"Risk Friendly, Silence, Routine Seeker, Hate Distractions, Monotasker",0.0008320765510426959,0.508689080477802,"Routine Seeker, Risk Friendly, Internally Motivated, Monotasker, Noise/Music",0.00423467530441372,0.2838776695606968,0.12875964770108633,0.93
0,18,"Controlled Chaos, Stimulated By Constraints, Risk Averse, Multitasker, Love Distractions",0.0007057792174022867,0.4332361340717068,"Silence, Multitasker, Risk Friendly, Let It Happen, Generalist",0.11368988804112835,0.2783369589674702,0.1041201568279015,0.8733333333333333
0,5,"Noise/Music, Risk Averse, Let It Happen, Stifled By Constraints, Pragmastist",0.0005571941190018053,0.3197822654501105,"Make It Happen, Public, Risk Averse, Internally Motivated, Intuitive",0.00042346753044137205,0.2031332636124671,0.07091737222410212,0.7533333333333333
0,7,"Pragmastist, Night Owl, Routine Seeker, Stimulated By Constraints, Externally Motivated",0.00046804305996151646,0.34769119541115917,"Make It Happen, Routine Seeker, Monotasker, Night Owl, Urban",0.00020801913776067398,0.229591161599751,0.07830391464830715,0.7933333333333333
