,idx,idxmax,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,z_sim
2344,65,7,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.7172734288034099,"Routine Seeker, Hate Distractions, Risk Averse, Monotasker, Private",0.22298795826325113,0.4713741323948509,0.13275032854471178,1.0
3460,96,2,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.7172294122825563,"Hate Distractions, Risk Averse, Monotasker, Routine Seeker, Solo Creator",0.2660275970884625,0.46577196697264506,0.15537131763109166,1.0
2560,71,4,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.7172052768030641,"Risk Averse, Hate Distractions, Routine Seeker, Make It Happen, Monotasker",0.2319434102755026,0.489660874640076,0.1676623100857304,1.0
1948,54,2,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.7159988197716932,"Hate Distractions, Risk Averse, Monotasker, Routine Seeker, Solo Creator",0.26119525234925317,0.42503184209779793,0.19294156658165518,1.0
2884,80,9,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.7155834220699673,"Routine Seeker, Risk Averse, Monotasker, Hate Distractions, Solo Creator",0.2501149220754185,0.4489174686130546,0.11826098334426124,1.0
1480,41,10,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.7145458708898532,"Hate Distractions, Risk Averse, Routine Seeker, Monotasker, Solo Creator",0.2955331068597652,0.3309760399243213,0.16647544775524356,1.0
364,10,1,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.714417769854717,"Hate Distractions, Routine Seeker, Risk Averse, Monotasker, Solo Creator",0.2675743717320383,0.3890451584083045,0.16705923672061562,1.0
2596,72,7,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.7132405000409038,"Risk Averse, Hate Distractions, Routine Seeker, Make It Happen, Solo Creator",0.21907323742717869,0.38564171228509153,0.15718637438614602,1.0
544,15,11,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.7123053841820034,"Routine Seeker, Externally Motivated, Hate Distractions, Risk Averse, Outwardly Inspired",0.24820789860342243,0.37566123928225786,0.17920319809751695,1.0
2848,79,8,"Externally Motivated, Hate Distractions, Risk Averse, Monotasker, Outwardly Inspired",0.23590856073044433,0.7120724306532948,"Risk Averse, Routine Seeker, Hate Distractions, Make It Happen, Monotasker",0.23296296296296296,0.4202463168344355,0.13675129769502747,1.0
